Modules loaded....
Namespace(augment=True, batch_size=128, cpu=False, data_set='cifar10', epochs=300, lr=0.1, model='AlexNet', momentum=0.6, name='exp1', nesterov=False, print_freq=10, resume='', seed=1, start_epoch=0, tensorboard=True, weight_decay=0.0)
Tensorboard:  True
Files already downloaded and verified
Number of model parameters: 23238474
using : SGD (
Parameter Group 0
    dampening: 0
    lr: 0.1
    momentum: 0.6
    nesterov: False
    weight_decay: 0.0
)
Epoch: [0][0/391]	Time 0.579 (0.579)	Loss 2.3030 (2.3030)	Prec@1 8.594 (8.594)
Epoch: [0][10/391]	Time 0.022 (0.069)	Loss 2.3014 (2.3030)	Prec@1 10.156 (9.304)
Epoch: [0][20/391]	Time 0.022 (0.046)	Loss 2.3039 (2.3023)	Prec@1 8.594 (9.598)
Epoch: [0][30/391]	Time 0.022 (0.038)	Loss 2.3012 (2.3012)	Prec@1 14.062 (10.156)
Epoch: [0][40/391]	Time 0.021 (0.034)	Loss 2.3029 (2.3015)	Prec@1 7.031 (10.042)
Epoch: [0][50/391]	Time 0.022 (0.032)	Loss 2.2976 (2.3014)	Prec@1 8.594 (10.263)
Epoch: [0][60/391]	Time 0.021 (0.030)	Loss 2.2889 (2.3005)	Prec@1 10.156 (10.400)
Epoch: [0][70/391]	Time 0.023 (0.029)	Loss 2.2443 (2.2971)	Prec@1 20.312 (10.618)
Epoch: [0][80/391]	Time 0.023 (0.028)	Loss 2.2353 (2.2893)	Prec@1 20.312 (11.593)
Epoch: [0][90/391]	Time 0.022 (0.028)	Loss 2.2856 (2.2903)	Prec@1 13.281 (11.770)
Epoch: [0][100/391]	Time 0.023 (0.027)	Loss 2.2945 (2.2916)	Prec@1 14.062 (11.572)
Epoch: [0][110/391]	Time 0.022 (0.027)	Loss 2.2921 (2.2922)	Prec@1 12.500 (11.451)
Epoch: [0][120/391]	Time 0.022 (0.027)	Loss 2.2823 (2.2920)	Prec@1 16.406 (11.577)
Epoch: [0][130/391]	Time 0.022 (0.026)	Loss 2.2362 (2.2901)	Prec@1 17.188 (11.635)
Epoch: [0][140/391]	Time 0.023 (0.026)	Loss 2.2279 (2.2852)	Prec@1 18.750 (12.046)
Epoch: [0][150/391]	Time 0.023 (0.026)	Loss 2.1711 (2.2786)	Prec@1 16.406 (12.521)
Epoch: [0][160/391]	Time 0.022 (0.025)	Loss 2.1445 (2.2708)	Prec@1 22.656 (13.014)
Epoch: [0][170/391]	Time 0.022 (0.025)	Loss 2.0499 (2.2613)	Prec@1 15.625 (13.400)
Epoch: [0][180/391]	Time 0.021 (0.025)	Loss 2.0171 (2.2506)	Prec@1 17.969 (13.834)
Epoch: [0][190/391]	Time 0.021 (0.025)	Loss 2.0145 (2.2415)	Prec@1 27.344 (14.230)
Epoch: [0][200/391]	Time 0.021 (0.025)	Loss 1.9446 (2.2329)	Prec@1 28.125 (14.568)
Epoch: [0][210/391]	Time 0.021 (0.025)	Loss 2.0390 (2.2229)	Prec@1 21.094 (14.973)
Epoch: [0][220/391]	Time 0.022 (0.024)	Loss 2.0643 (2.2112)	Prec@1 22.656 (15.385)
Epoch: [0][230/391]	Time 0.021 (0.024)	Loss 1.8635 (2.2021)	Prec@1 32.031 (15.757)
Epoch: [0][240/391]	Time 0.021 (0.024)	Loss 2.0377 (2.1970)	Prec@1 26.562 (15.969)
Epoch: [0][250/391]	Time 0.022 (0.024)	Loss 1.9500 (2.1893)	Prec@1 28.906 (16.291)
Epoch: [0][260/391]	Time 0.022 (0.024)	Loss 1.9380 (2.1809)	Prec@1 21.094 (16.592)
Epoch: [0][270/391]	Time 0.021 (0.024)	Loss 1.8070 (2.1706)	Prec@1 26.562 (16.896)
Epoch: [0][280/391]	Time 0.021 (0.024)	Loss 2.0027 (2.1614)	Prec@1 21.875 (17.229)
Epoch: [0][290/391]	Time 0.022 (0.024)	Loss 2.1166 (2.1547)	Prec@1 26.562 (17.496)
Epoch: [0][300/391]	Time 0.021 (0.024)	Loss 1.9647 (2.1468)	Prec@1 21.875 (17.881)
Epoch: [0][310/391]	Time 0.021 (0.024)	Loss 1.8951 (2.1370)	Prec@1 18.750 (18.222)
Epoch: [0][320/391]	Time 0.022 (0.024)	Loss 1.7367 (2.1314)	Prec@1 30.469 (18.487)
Epoch: [0][330/391]	Time 0.021 (0.023)	Loss 1.8688 (2.1245)	Prec@1 28.906 (18.804)
Epoch: [0][340/391]	Time 0.021 (0.023)	Loss 1.8893 (2.1162)	Prec@1 32.031 (19.144)
Epoch: [0][350/391]	Time 0.021 (0.023)	Loss 1.8907 (2.1092)	Prec@1 31.250 (19.438)
Epoch: [0][360/391]	Time 0.022 (0.023)	Loss 1.8825 (2.1016)	Prec@1 25.000 (19.707)
Epoch: [0][370/391]	Time 0.021 (0.023)	Loss 1.8550 (2.0949)	Prec@1 24.219 (19.950)
Epoch: [0][380/391]	Time 0.021 (0.023)	Loss 1.8630 (2.0892)	Prec@1 31.250 (20.179)
Epoch: [0][390/391]	Time 0.095 (0.023)	Loss 1.8041 (2.0812)	Prec@1 33.750 (20.452)
Test: [0/79]	Time 0.054 (0.054)	Loss 1.6818 (1.6818)	Prec@1 36.719 (36.719)
Test: [10/79]	Time 0.017 (0.020)	Loss 1.6253 (1.7102)	Prec@1 39.844 (34.801)
Test: [20/79]	Time 0.017 (0.019)	Loss 1.7600 (1.7170)	Prec@1 38.281 (35.082)
Test: [30/79]	Time 0.017 (0.018)	Loss 1.8167 (1.7113)	Prec@1 33.594 (35.433)
Test: [40/79]	Time 0.017 (0.018)	Loss 1.6608 (1.7091)	Prec@1 38.281 (35.938)
Test: [50/79]	Time 0.017 (0.018)	Loss 1.5891 (1.7076)	Prec@1 41.406 (35.769)
Test: [60/79]	Time 0.017 (0.018)	Loss 1.7319 (1.7083)	Prec@1 33.594 (35.630)
Test: [70/79]	Time 0.017 (0.018)	Loss 1.7396 (1.7045)	Prec@1 32.812 (35.805)
 * Prec@1 35.910
Epoch: [1][0/391]	Time 0.092 (0.092)	Loss 1.8092 (1.8092)	Prec@1 31.250 (31.250)
Epoch: [1][10/391]	Time 0.022 (0.029)	Loss 1.7863 (1.8290)	Prec@1 30.469 (31.321)
Epoch: [1][20/391]	Time 0.022 (0.025)	Loss 1.7775 (1.8156)	Prec@1 32.812 (31.473)
Epoch: [1][30/391]	Time 0.022 (0.024)	Loss 1.7245 (1.7899)	Prec@1 30.469 (32.233)
Epoch: [1][40/391]	Time 0.022 (0.024)	Loss 1.8324 (1.8109)	Prec@1 35.156 (32.069)
Epoch: [1][50/391]	Time 0.027 (0.024)	Loss 2.0341 (1.8136)	Prec@1 28.125 (32.108)
Epoch: [1][60/391]	Time 0.023 (0.023)	Loss 1.6670 (1.8099)	Prec@1 35.156 (32.108)
Epoch: [1][70/391]	Time 0.025 (0.024)	Loss 1.7330 (1.7940)	Prec@1 35.156 (33.143)
Epoch: [1][80/391]	Time 0.025 (0.024)	Loss 1.8097 (1.7917)	Prec@1 32.031 (33.189)
Epoch: [1][90/391]	Time 0.025 (0.024)	Loss 1.6983 (1.7903)	Prec@1 30.469 (33.164)
Epoch: [1][100/391]	Time 0.025 (0.024)	Loss 1.8926 (1.7836)	Prec@1 25.781 (33.269)
Epoch: [1][110/391]	Time 0.025 (0.024)	Loss 1.6335 (1.7755)	Prec@1 40.625 (33.453)
Epoch: [1][120/391]	Time 0.025 (0.024)	Loss 1.5589 (1.7681)	Prec@1 41.406 (33.884)
Epoch: [1][130/391]	Time 0.025 (0.024)	Loss 1.7062 (1.7671)	Prec@1 36.719 (34.023)
Epoch: [1][140/391]	Time 0.025 (0.024)	Loss 1.8629 (1.7646)	Prec@1 30.469 (33.982)
Epoch: [1][150/391]	Time 0.021 (0.024)	Loss 1.8233 (1.7642)	Prec@1 33.594 (34.008)
Epoch: [1][160/391]	Time 0.022 (0.024)	Loss 1.6354 (1.7612)	Prec@1 37.500 (34.137)
Epoch: [1][170/391]	Time 0.022 (0.024)	Loss 1.6601 (1.7526)	Prec@1 37.500 (34.430)
Epoch: [1][180/391]	Time 0.021 (0.024)	Loss 1.4685 (1.7459)	Prec@1 41.406 (34.729)
Epoch: [1][190/391]	Time 0.021 (0.024)	Loss 1.6799 (1.7403)	Prec@1 37.500 (34.939)
Epoch: [1][200/391]	Time 0.022 (0.023)	Loss 1.5667 (1.7335)	Prec@1 46.875 (35.102)
Epoch: [1][210/391]	Time 0.022 (0.023)	Loss 1.5977 (1.7274)	Prec@1 39.062 (35.323)
Epoch: [1][220/391]	Time 0.021 (0.023)	Loss 1.5854 (1.7225)	Prec@1 42.969 (35.481)
Epoch: [1][230/391]	Time 0.022 (0.023)	Loss 1.5295 (1.7162)	Prec@1 39.062 (35.697)
Epoch: [1][240/391]	Time 0.023 (0.023)	Loss 1.5450 (1.7113)	Prec@1 42.188 (35.912)
Epoch: [1][250/391]	Time 0.021 (0.023)	Loss 1.4492 (1.7042)	Prec@1 45.312 (36.205)
Epoch: [1][260/391]	Time 0.022 (0.023)	Loss 1.6497 (1.6979)	Prec@1 38.281 (36.443)
Epoch: [1][270/391]	Time 0.025 (0.023)	Loss 1.4443 (1.6935)	Prec@1 43.750 (36.618)
Epoch: [1][280/391]	Time 0.025 (0.023)	Loss 1.7287 (1.6944)	Prec@1 28.125 (36.530)
Epoch: [1][290/391]	Time 0.025 (0.023)	Loss 1.5577 (1.6910)	Prec@1 46.094 (36.791)
Epoch: [1][300/391]	Time 0.025 (0.023)	Loss 1.5250 (1.6883)	Prec@1 44.531 (36.929)
Epoch: [1][310/391]	Time 0.025 (0.023)	Loss 1.5171 (1.6840)	Prec@1 41.406 (37.098)
Epoch: [1][320/391]	Time 0.025 (0.023)	Loss 1.5401 (1.6784)	Prec@1 42.188 (37.335)
Epoch: [1][330/391]	Time 0.025 (0.023)	Loss 1.4855 (1.6725)	Prec@1 42.188 (37.561)
Epoch: [1][340/391]	Time 0.027 (0.023)	Loss 1.5777 (1.6657)	Prec@1 42.969 (37.846)
Epoch: [1][350/391]	Time 0.029 (0.023)	Loss 1.4183 (1.6611)	Prec@1 45.312 (38.030)
Epoch: [1][360/391]	Time 0.025 (0.024)	Loss 1.5130 (1.6559)	Prec@1 45.312 (38.175)
Epoch: [1][370/391]	Time 0.025 (0.024)	Loss 1.2779 (1.6516)	Prec@1 50.000 (38.393)
Epoch: [1][380/391]	Time 0.025 (0.024)	Loss 1.3337 (1.6475)	Prec@1 52.344 (38.503)
Epoch: [1][390/391]	Time 0.015 (0.024)	Loss 1.4829 (1.6426)	Prec@1 47.500 (38.704)
Test: [0/79]	Time 0.055 (0.055)	Loss 1.5841 (1.5841)	Prec@1 42.969 (42.969)
Test: [10/79]	Time 0.017 (0.020)	Loss 1.5272 (1.4857)	Prec@1 43.750 (45.952)
Test: [20/79]	Time 0.017 (0.019)	Loss 1.4636 (1.4817)	Prec@1 46.094 (45.796)
Test: [30/79]	Time 0.018 (0.018)	Loss 1.4540 (1.4649)	Prec@1 44.531 (46.094)
Test: [40/79]	Time 0.017 (0.018)	Loss 1.5848 (1.4715)	Prec@1 37.500 (45.732)
Test: [50/79]	Time 0.017 (0.018)	Loss 1.5342 (1.4703)	Prec@1 46.094 (45.772)
Test: [60/79]	Time 0.018 (0.018)	Loss 1.5427 (1.4753)	Prec@1 38.281 (45.466)
Test: [70/79]	Time 0.018 (0.018)	Loss 1.7020 (1.4804)	Prec@1 41.406 (45.213)
 * Prec@1 45.370
Epoch: [2][0/391]	Time 0.090 (0.090)	Loss 1.4676 (1.4676)	Prec@1 44.531 (44.531)
